timestamp,symbol,market_cap_millions,previous_close,open,current_price,bid,ask,volume,day_high,day_low,change_pct,change_from_open_pct,meets_criteria
2025-06-04 02:28:43,ADAG,0.00,2.08,2.11,2.07,0.00,0.00,68858,2.11,1.90,-0.72,-1.90,N
2025-06-04 02:28:43,ADTX,0.00,1.36,1.38,1.53,0.00,0.00,147145,1.57,1.36,12.50,10.87,N
2025-06-04 02:28:43,AEI,0.00,0.83,0.84,0.83,0.00,0.00,25321,0.85,0.82,0.27,-1.20,N
2025-06-04 02:28:43,ABAT,0.00,1.38,1.40,1.48,0.00,0.00,1747537.0,1.54,1.39,7.25,5.71,Y
2025-06-04 02:28:43,ACGLN,0.00,16.87,16.91,17.00,0.00,0.00,49471,17.01,16.89,0.77,0.53,N
2025-06-04 02:28:43,ADBE,0.00,403.40,403.45,412.49,0.00,0.00,2737364.0,412.64,402.48,2.25,2.24,N
2025-06-04 02:28:43,AADR,0.00,78.06,77.27,77.90,0.00,0.00,1956,77.99,77.27,-0.20,0.82,N
2025-06-04 02:28:43,AAON,0.00,94.07,94.21,95.56,0.00,0.00,498116,96.05,94.10,1.58,1.43,N
2025-06-04 02:28:43,ACHV,0.00,3.90,3.94,4.21,0.00,0.00,918026,4.30,3.85,7.95,6.85,Y
2025-06-04 02:28:43,ABLLW,0.00,1.59,1.61,1.61,0.00,0.00,6359,1.61,1.55,1.11,-0.04,N
2025-06-04 02:28:43,ABTS,0.00,4.10,4.11,3.99,0.00,0.00,23979,4.15,3.75,-2.68,-2.92,N
2025-06-04 02:28:43,ADI,0.00,215.45,214.03,218.43,0.00,0.00,3517153.0,218.89,213.05,1.38,2.06,N
2025-06-04 02:28:43,ABOS,0.00,1.00,1.00,1.04,0.00,0.00,336233,1.06,1.00,4.00,4.00,Y
2025-06-04 02:28:43,ABCS,0.00,27.88,27.88,28.19,0.00,0.00,4122,28.24,27.88,1.13,1.12,N
2025-06-04 02:28:43,ABVC,0.00,1.54,1.62,1.65,0.00,0.00,532312,1.81,1.62,7.14,1.85,Y
2025-06-04 02:28:43,ABLVW,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,N
2025-06-04 02:28:43,AAXJ,0.00,78.21,78.21,78.32,0.00,0.00,769598,78.44,78.09,0.14,0.14,N
2025-06-04 02:28:43,ACHC,0.00,21.63,21.69,22.44,0.00,0.00,1970791.0,22.55,21.28,3.74,3.46,Y
2025-06-04 02:28:43,ACWI,0.00,124.57,124.20,124.85,0.00,0.00,1473931.0,125.06,124.08,0.22,0.52,N
2025-06-04 02:28:43,AAPL,0.00,201.70,201.35,203.27,0.00,0.00,46379257.0,203.77,200.96,0.78,0.95,N
2025-06-04 02:28:43,ADXN,0.00,8.09,8.08,8.08,0.00,0.00,1001,8.08,8.08,-0.12,-0.06,N
2025-06-04 02:28:43,AEHL,0.00,1.93,1.97,2.04,0.00,0.00,142301,2.09,1.78,5.70,3.55,N
2025-06-04 02:28:43,ABVX,0.00,6.35,6.50,7.74,0.00,0.00,608656,7.88,6.44,21.89,19.08,Y
2025-06-04 02:28:43,ACGLO,0.00,20.41,20.46,20.55,0.00,0.00,19006,20.58,20.42,0.66,0.44,N
2025-06-04 02:28:43,AACBR,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,N
2025-06-04 02:28:43,ADVWW,0.00,0.01,0.01,0.01,0.00,0.00,144,0.01,0.01,0.12,0.00,N
2025-06-04 02:28:43,ACAD,0.00,21.46,21.50,21.98,0.00,0.00,1365742.0,22.03,21.41,2.40,2.23,N
2025-06-04 02:28:43,ADSEW,0.00,1.95,1.71,1.40,0.00,0.00,25692,1.73,1.21,-28.21,-18.13,N
2025-06-04 02:28:43,ADPT,0.00,9.55,9.50,9.94,0.00,0.00,1490852.0,10.00,9.36,4.08,4.63,Y
2025-06-04 02:28:43,ACT,0.00,34.99,34.81,34.90,0.00,0.00,481052,35.05,34.46,-0.26,0.26,N

